ubigeo,population_weighted_mean_t_min,total_population,n_demand_points,pct_population_unroutable
160403,3.2889025718661196,2269.8449612403097,26.0,0.0
160404,1.6686748687651376,4738.5,30.0,0.0
160501,0.10156633543473455,18431.796116504847,46.0,0.0
160502,0.0,447.6136363636364,4.0,0.0
160503,0.0,400.9375,5.0,0.0
160504,0.0,2718.3035714285716,16.0,0.0
160505,0.42657860882588505,2371.4285714285716,16.0,0.0
160506,1.4342570036769702,2481.4054054054054,12.0,0.0
160507,1.4437084429066633,1472.1875,5.0,0.0
160508,0.0,22.76,1.0,0.0
160509,0.0,73.41666666666666,2.0,0.0
160510,0.0,3019.0344827586214,10.0,0.0
160511,5.487835358957464,762.6279069767442,8.0,0.0
160601,0.0,14558.815068493152,60.0,0.0
160602,0.0,173.8,2.0,0.0
160603,0.0,1101.2340425531916,5.0,0.0
160604,0.4875184100867257,2322.4137931034484,16.0,0.0
160605,0.30469900630420355,6120.0,26.0,0.0
160606,0.0,3063.315789473684,9.0,0.0
160701,25.600445520139104,6421.165354330709,35.0,0.0
160702,25.470526287792755,1810.2857142857144,17.0,0.0
160703,25.600445520139093,1351.5185185185187,13.0,0.0
160704,25.6004455201391,242.45454545454544,7.0,0.0
160705,25.585091429043626,827.5259259259259,13.0,0.0
160706,44.607695273463634,2874.6012269938665,31.0,0.0
