demand_id,facility_id,distance_m,straight_line_m,detour_factor
129706,21545,15766.20294620295,14589.653537033215,1.080642724392548
129707,8311,7971.088072735903,7734.801024931972,1.0305485618883141
129708,21545,11756.745520181237,9475.92450580539,1.2406964104640672
129709,8311,3698.795774835128,3021.1326884166697,1.2243076211173007
129710,21545,9759.607174681423,7115.09319783728,1.3716766461538374
129711,8311,3674.810689611158,2596.491634800662,1.415298489838301
129712,8311,1855.8802264090223,1472.7764431437395,1.2601235136865188
129713,23939,33024.66858693617,27658.879018313513,1.1939988083056388
129714,23939,27640.363784282057,25495.323252951992,1.084134666975901
129715,23939,30161.490170228353,25119.556094006974,1.200717483117637
129716,23939,33368.11904745033,25922.020077433634,1.2872499499565964
129717,21545,19499.936084360594,18083.29223468169,1.0783399301019947
129718,8311,2420.531811022921,1803.8380155096172,1.3418786998671144
129719,8311,1071.3350979240406,413.6500193578335,2.5899553917275844
129720,8311,9839.71436019855,6870.471603345154,1.4321745184723136
129721,8311,4095.434375582496,2884.9531653857966,1.4195843539923898
129722,21545,8098.128084387896,6581.997032094276,1.230345143715632
129723,8311,1907.9273386826812,1121.544200968403,1.7011610750920667
129724,8311,1661.3885841837507,1233.5752718742328,1.346807626631101
129725,21545,3949.4441162067405,1597.7015182896744,2.4719536603023236
129726,21545,18581.24455166875,16256.124984294138,1.1430303697603843
129727,8311,2937.5725964679204,333.40813166541454,8.810740703276746
129728,8311,1193.952141779367,393.86793816398244,3.0313514406503392
129729,5828,2315.501692771228,1877.3879878770776,1.2333634324514684
129730,8311,2861.9425665096533,1124.1170206692418,2.5459471868914494
129731,21545,9808.169573597917,9904.58181582792,0.9902658947118866
129732,598,8368.928152563854,8081.054209544466,1.03562331541835
129733,21545,869.6671231142237,1010.7810226406815,0.8603912258287206
129734,21545,26120.551324262906,24442.367462464194,1.068658809928125
129735,21545,7426.604085595778,6336.149913668961,1.17210043745562
129736,20482,45.3807119644729,70.74028455958495,0.6415115834917015
129737,21545,16245.621214559138,14031.855324103983,1.1577671547576704
129738,8311,2804.8517955955776,987.123549142284,2.8414394510522274
129739,598,2175.4515058800866,1968.2526953792074,1.1052704314782915
129740,5828,851.6817773414712,648.9057160595587,1.3124892511554036
129741,5828,789.3866945360944,448.4008362902914,1.7604487562218802
129742,5358,272.2483383617517,220.30925372505754,1.2357553473514702
129743,8311,3504.865503869844,2951.6284763707567,1.18743450672333
129744,8311,3291.3148299788118,1422.4932389152618,2.31376483201329
129745,21545,17962.791534755623,16796.55031225057,1.069433377736764
129746,21545,6686.121189544069,5807.235082858166,1.1513432974807933
129747,21545,14268.318996937796,13597.481562828267,1.0493354178132084
129748,21545,2339.186015608102,2181.1071133156615,1.0724764507563012
129749,5828,1928.8147361473675,1634.0554092725424,1.1803851480201932
129750,8311,3447.251161574297,1554.4970969283888,2.217598970358902
129751,598,2552.3580161818854,2302.611944744898,1.1084620758643098
129752,598,10328.995777800897,9138.520731346018,1.1302699946142742
129753,21545,25180.9487807669,23055.36478783122,1.0921947673566015
129754,598,3556.9109537049535,2811.033375330722,1.2653392823151657
129755,598,7073.419710202614,6460.79974461898,1.094821073210614
129756,598,3765.6824345051764,3596.1995611978523,1.047128328231838
129757,21545,13835.125993740528,13778.497793163791,1.0041098965523536
129758,21545,4103.971717894655,3911.0312526283747,1.0493323762464482
129759,6000,562.92451437685,334.9755267503729,1.6804944523494902
129760,21545,26336.128600184595,21507.530206540425,1.224507339860706
129761,598,4210.650638547169,3992.130951490869,1.0547376049812929
129762,8311,1404.6257363141542,1122.2598376866547,1.251604743523165
129763,8311,2809.6655921591796,1150.0293823749375,2.4431250498634305
129764,598,12102.0686911348,11405.098155768008,1.06111043726654
129765,21545,3413.560371865571,3164.001565671911,1.0788744256328027
129766,21545,943.7302036226334,772.2074438783409,1.2221200547910225
129767,598,4169.041630104035,3565.053608204842,1.169419057404673
129768,21545,10189.054464721567,10189.246386353043,0.9999811642957488
129769,598,1043.0787720188991,779.5409710447011,1.3380679281308565
129770,21545,1092.4217214558184,864.1396329297698,1.2641726867127752
129771,21545,6383.212847563806,6079.92729064089,1.0498830894556548
129773,21545,2998.1151523191566,2420.1964282026765,1.23879000786133
129774,21545,16870.558268347668,16247.873234282359,1.0383240947960788
129775,8514,930.4234191627253,726.1082077137016,1.281383971808212
129776,8514,1480.5543129204227,1073.9998202416166,1.3785424215316386
129777,598,851.2090366897033,452.7005541665764,1.8802915721116857
129778,598,966.009042890232,833.1687951909939,1.15943977794894
129779,21545,11444.401318679702,11297.619030699288,1.0129923205572393
129780,598,1365.8028662807947,851.3166856945209,1.604341708827833
129781,598,2513.284696459564,1471.507611637215,1.7079658145045251
129782,21545,1513.5981461326176,1510.2752840718724,1.00220016979407
129783,21545,7907.320792584755,7366.715981873991,1.0733847771572755
129784,598,4127.578238166142,3721.862198075924,1.1090088827845264
129785,21545,27097.342824501036,24123.897448867374,1.1232572548418485
129786,23218,1741.3103661852563,1402.0668677285898,1.241959571447727
129787,23939,8868.381019022721,7178.755575257916,1.2353646709449502
129788,21545,2027.2847292393403,1648.189266559599,1.230007239078227
129789,598,737.8884362674582,370.31107520402855,1.9926177899510764
129790,21545,19068.058924746874,19814.488112605854,0.9623291208121544
129791,21545,6936.005919866862,5946.162351176304,1.1664676324377088
129792,21545,1947.1093820570056,1747.1686163298689,1.1144370176171865
129793,23939,5193.959895104014,5653.163908289607,0.918770440653201
129794,23218,3564.6793570541745,3487.95933204554,1.021995676470127
129795,23939,5867.908246186001,4325.773477860875,1.3564991963212374
129796,23939,11295.505419111663,5501.8232277250345,2.0530476810288714
129797,23939,2018.4891691662317,1810.5428209740005,1.1148530406369312
129798,21545,25386.594284236788,21778.446900756062,1.1656751466219322
129799,23939,11295.505419111663,4678.30907322962,2.4144418939200043
129800,21545,2569.5664458125275,2195.1207265093954,1.170580922853643
129801,21545,1928.577973857327,1826.2035150254383,1.0560586254432123
129802,23218,2027.342538532956,1569.6096054135578,1.2916221533945031
129803,21545,17397.562132150608,17126.57505551961,1.015822607599741
129804,598,1504.2420241260775,1398.4543186038418,1.0756461645653537
129805,598,551.63170027758,569.3146074820218,0.9689400079111791
129806,598,1580.6728777114981,1058.13029689932,1.493835761383456
129807,23218,2222.341336778348,1682.1276244288183,1.321149064140103
